iter	Passed	Remaining
803	105401	25694
804	105532	25563
805	105661	25432
806	105797	25302
807	105933	25172
808	106067	25041
809	106198	24910
810	106314	24776
811	106447	24645
812	106589	24516
813	106728	24387
814	106863	24257
815	106985	24124
816	107126	23995
817	107251	23862
818	107376	23730
819	107499	23597
820	107632	23466
821	107757	23334
822	107879	23201
823	107997	23067
824	108128	22936
825	108250	22803
826	108386	22673
827	108515	22541
828	108644	22410
829	108762	22276
830	108888	22144
831	108997	22009
832	109105	21873
833	109222	21739
834	109332	21604
835	109447	21470
836	109579	21339
837	109704	21207
838	109839	21077
839	109954	20943
840	110070	20810
841	110201	20679
842	110304	20542
843	110411	20407
844	110553	20279
845	110697	20150
846	110823	20018
847	110965	19890
848	111084	19757
849	111232	19629
850	111350	19496
851	111472	19363
852	111604	19233
853	111748	19104
854	111864	18971
855	111975	18836
856	112084	18702
857	112225	18573
858	112345	18440
859	112468	18308
860	112597	18177
861	112781	18055
862	112910	17924
863	113045	17794
864	113165	17661
865	113291	17530
866	113422	17399
867	113552	17268
868	113674	17136
869	113781	17001
870	113907	16870
871	114038	16739
872	114160	16607
873	114283	16475
874	114407	16343
875	114517	16210
876	114649	16079
877	114788	15950
878	114924	15820
879	115055	15689
880	115186	15558
881	115321	15428
882	115433	15295
883	115562	15164
884	115688	15032
885	115798	14899
886	115916	14767
887	116043	14636
888	116182	14506
889	116300	14374
890	116423	14242
891	116548	14111
892	116654	13977
893	116783	13846
894	116917	13716
895	117036	13584
896	117178	13455
897	117287	13322
898	117403	13189
899	117522	13058
900	117654	12927
901	117766	12795
902	117890	12663
903	118007	12531
904	118138	12401
905	118264	12270
906	118393	12139
907	118515	12008
