iter	RMSE
0	0.9358457966
1	0.9090154048
2	0.8832277723
3	0.8580330321
4	0.8337111928
5	0.8100418741
6	0.7871666757
7	0.7648938321
8	0.7430938089
9	0.7221659321
10	0.701788853
11	0.6820532524
12	0.6629709108
13	0.6445006833
14	0.6264942725
15	0.6091080375
16	0.59215741
17	0.5757239719
18	0.5597310541
19	0.5442299455
20	0.5293189208
21	0.5146878966
22	0.5004759947
23	0.4867206719
24	0.4732670081
25	0.4604003218
26	0.447848317
27	0.4356785739
28	0.4238640514
29	0.4123270001
30	0.4011894314
31	0.3903655552
32	0.3798210119
33	0.3695838068
34	0.3597413909
35	0.350085626
36	0.340878525
37	0.3318856335
38	0.3230920582
39	0.3145845707
40	0.3063288676
41	0.2983019865
42	0.2905294709
43	0.2830050659
44	0.275695753
45	0.2685624596
46	0.2617042577
47	0.255062527
48	0.2486244256
49	0.2424408803
50	0.2363686645
51	0.2305277154
52	0.2248089479
53	0.2193311139
54	0.2139769798
55	0.208859202
56	0.2038533608
57	0.1990059269
58	0.1942746635
59	0.1896506672
60	0.1852141417
61	0.1808852895
62	0.1766635248
63	0.1725993353
64	0.1687127476
65	0.1649323552
66	0.1612847109
67	0.1577732292
68	0.1543867648
69	0.1511169684
70	0.1479075462
71	0.1447631585
72	0.1417419599
73	0.1388568418
74	0.1360251987
75	0.1333340381
76	0.1306881522
77	0.1281917868
78	0.1257311853
79	0.1233763653
80	0.1211454603
81	0.1189542548
82	0.1168190464
83	0.1147571927
84	0.1127601932
85	0.1108554483
86	0.1090192855
87	0.1072359701
88	0.1055303588
89	0.1038873471
90	0.1022562645
91	0.1007258834
92	0.09926472909
93	0.09785566247
94	0.09647369525
95	0.09512934629
96	0.09386315818
97	0.09263382373
98	0.09145176616
99	0.0903117241
100	0.08920338586
101	0.08815737166
102	0.0871665665
103	0.08619260659
104	0.08525134379
105	0.08435678106
106	0.08350718531
107	0.08270620201
108	0.08191235847
109	0.0811433369
110	0.08041640862
111	0.07968767107
112	0.07899265338
113	0.07831823602
114	0.07769362962
115	0.07709864326
116	0.07650618502
117	0.07593956391
118	0.07539258808
119	0.07486801585
120	0.07437356171
121	0.0738925164
122	0.07343710083
123	0.07300871432
124	0.07258502146
125	0.07218986649
126	0.07179619043
127	0.07142239211
128	0.07104003601
129	0.07066660425
130	0.07032301036
131	0.07000475898
132	0.06968026635
133	0.06938547605
134	0.06910680145
135	0.06883572427
136	0.06854860101
137	0.06829947776
138	0.06804495552
139	0.06779993874
140	0.06757776616
141	0.06736649823
142	0.06714415498
143	0.06693863655
144	0.06674639144
145	0.06657613614
146	0.06638768708
147	0.06622251273
148	0.06605721452
149	0.06590085906
150	0.0657302955
151	0.06558379435
152	0.06543956572
153	0.06528559508
154	0.06515535918
155	0.06502993835
156	0.06490739151
157	0.06479963972
158	0.0646725045
159	0.06455598124
160	0.06443191406
161	0.06433485659
162	0.06424167325
163	0.06414724836
164	0.06406286024
165	0.06396183807
166	0.06386909839
167	0.06378984537
168	0.06370605701
169	0.06363289065
170	0.06354257711
171	0.06346466574
172	0.06338662597
173	0.06331856482
174	0.06324948959
175	0.06318843692
176	0.06311853568
177	0.06304907113
178	0.06298483952
179	0.06291387614
180	0.06286500057
181	0.06280629118
182	0.06275023342
183	0.06269949863
184	0.06265470791
185	0.06260948713
186	0.06256509518
187	0.06251542304
188	0.06246969196
189	0.06242384854
190	0.06237282378
191	0.0623257093
192	0.06228903098
193	0.0622529768
194	0.06220818735
195	0.06216630539
196	0.06212717785
197	0.06209228024
198	0.06205839175
199	0.0620291773
200	0.06199583217
201	0.06196278776
202	0.06193941556
203	0.06191454918
204	0.06188938431
205	0.06186575117
206	0.06184310039
207	0.06181871159
208	0.06179098661
209	0.06175253521
210	0.06172036565
211	0.06169913232
212	0.06166976443
213	0.0616448355
214	0.06161808302
215	0.06159751087
216	0.06157801332
217	0.06155041021
218	0.0615235147
219	0.06148590584
220	0.06146632411
221	0.06143944065
222	0.0614182424
223	0.06140077896
224	0.0613833697
225	0.06136661623
226	0.06134883263
227	0.06132651201
228	0.06130810962
229	0.06129039615
230	0.06127237042
231	0.06125204425
232	0.06123521229
233	0.06122028358
234	0.06119659831
235	0.06118185753
236	0.06116911814
237	0.06115422679
238	0.06113477444
239	0.06111964695
